Date,strategy_return,gross_strategy_return,exposure,turnover,equity,gross_equity,drawdown,strategy_key,model_key,split,threshold
2020-03-23,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-24,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-25,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-26,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-27,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-30,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-31,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-01,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-02,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-03,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-06,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-07,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-08,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-09,0.001554928004951602,0.0015882613382849353,0.3333333333333333,0.3333333333333333,0.9729717982999794,0.9735240600023398,-0.04665851666545762,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-13,0.027834155410527018,0.027900822077193688,1.0,0.6666666666666666,1.000053646543921,1.0006861815883323,-0.020123061659021668,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-14,-0.020791764205052094,-0.020791764205052094,1.0,0.0,0.9792607669325771,0.9798801504574938,-0.04049643191097574,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-15,0.0052040356133730885,0.0052040356133730885,1.0,0.0,0.9843568748384733,0.984979481657312,-0.03550314117148179,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-16,0.026608859532730584,0.026608859532730584,1.0,0.0,1.010549488651128,1.0111886623273532,-0.009838979735153908,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-17,-0.017664910203361178,-0.017664910203361178,1.0,0.0,0.9926982226780532,0.9933261054086836,-0.027330085245000912,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-20,-0.02949717376271725,-0.02949717376271725,1.0,0.0,0.9634164307097781,0.9640257926744005,-0.056021098734296504,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-21,0.022276967524308116,0.022276967524308116,1.0,0.0,0.9848784272490847,0.9855013639504036,-0.03499211140716829,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-22,0.0007828006574338945,0.0007828006574338945,1.0,0.0,0.9856493907294278,0.986272815066006,-0.03423670259754885,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-23,0.012260322655276656,0.012260322655276656,1.0,0.0,0.9977337702847474,0.9983648380048432,-0.022396132962770987,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-24,0.01618819084150321,0.01618819084150321,1.0,0.0,1.0138852749671294,1.0145265585319119,-0.0065704949957807735,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-27,-0.0034952273189641225,-0.0034952273189641225,1.0,0.0,1.010341515455769,1.0109805575887165,-0.010042756941136433,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-28,0.028039793844337375,0.028039793844337375,1.0,0.0,1.038671283261524,1.0393282440041374,0.0,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-29,-0.01189475946843758,-0.01189475946843758,1.0,0.0,1.0263165381803547,1.0269656845329547,-0.011894759468437544,positive_20d_momentum,positive_20d_momentum,validation,
2020-04-30,-0.02838318639261206,-0.02838318639261206,1.0,0.0,0.9971864045793614,0.9978171260900394,-0.0399403346859617,positive_20d_momentum,positive_20d_momentum,validation,
2020-05-01,0.004394226978133742,0.004394226978133742,1.0,0.0,1.0015682679805922,1.002201761024748,-0.03572161460402068,positive_20d_momentum,positive_20d_momentum,validation,
2020-05-04,0.008021556381380876,0.008021556381380876,1.0,0.0,1.0096024043120004,1.0102409789563271,-0.027986601168219938,positive_20d_momentum,positive_20d_momentum,validation,
2020-05-05,-0.0053890220299886256,-0.0053890220299886256,1.0,0.0,1.0041616347136335,1.0047967680651342,-0.03322480278796858,positive_20d_momentum,positive_20d_momentum,validation,
2020-05-06,0.01137941381956383,0.01137941381956383,1.0,0.0,1.0155884054967697,1.0162307662935075,-0.022223467748402448,positive_20d_momentum,positive_20d_momentum,validation,
2020-05-07,0.0185882042994369,0.0185882042994369,1.0,0.0,1.034466370262283,1.0351206713927446,-0.004048357807714842,positive_20d_momentum,positive_20d_momentum,validation,
2020-05-08,-0.001042568927992445,-0.001042568927992445,1.0,0.0,1.0333878677675943,1.0340414867440277,-0.005086706043647582,positive_20d_momentum,positive_20d_momentum,validation,
2020-05-11,-0.019845869271797396,-0.019845869271797396,1.0,0.0,1.0128793872368171,1.0135200345764908,-0.024831625212278774,positive_20d_momentum,positive_20d_momentum,validation,
2020-05-12,-0.01922979563238462,-0.01922979563238462,1.0,0.0,0.9934019236199982,0.9940302514422575,-0.04358391376661119,positive_20d_momentum,positive_20d_momentum,validation,
2020-05-13,0.002962723495092553,0.003029390161759219,0.3333333333333333,0.6666666666666666,0.9963450988391774,0.9970415569064678,-0.04075031735684298,positive_20d_momentum,positive_20d_momentum,validation,
2020-05-14,0.0026402138409222786,0.0026402138409222786,0.3333333333333333,0.0,0.9989756629594677,0.999673959824987,-0.038217693067828185,positive_20d_momentum,positive_20d_momentum,validation,
2020-05-15,0.03476370954490277,0.034830376211569446,1.0,0.6666666666666666,1.0337037627490173,1.0344929799346005,-0.004782572304211752,positive_20d_momentum,positive_20d_momentum,validation,
2020-05-18,-0.0018616825648116806,-0.0017950158981450137,0.3333333333333333,0.6666666666666666,1.0317793344767272,1.0326360485890986,-0.006635351237549769,positive_20d_momentum,positive_20d_momentum,validation,
